"","xmid","scal","CL","drug","CELL_LINE_NAME","maxc","x","y","DRUG_ID_lib","BARCODE","SCAN_ID","POSITION","DRUGSET_ID","norm_neg_pos","CL_SPEC","drug_spec","time_stamp","sw_version","RESEARCH_PROJECT","yhat","yres","RMSE","x_micromol","IC50","auc","AUCtrap"
"1",9.63267900675174,1.87252844071566,905934,"1003_0.1","PC-3",0.1,-0.965024206177704,0.0960452814570687,1003,"9738",8839,388,159,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",0.00347192324393969,0.092573358213129,0.0795819520225092,0.000100052698506632,-1.86404542326461,0.899480393240494,0.896510435735746
"2",9.63267900675174,1.87252844071566,905934,"1003_0.1","PC-3",0.1,-0.965024206177704,0,1003,"9739",8840,388,217,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",0.00347192324393969,-0.00347192324393969,0.0795819520225092,0.000100052698506632,-1.86404542326461,0.899480393240494,0.896510435735746
"3",13.4508956596492,1.87252844071566,905934,"1032_2","PC-3",2,-0.965024206177704,0.017500892549874,1032,"9738",8839,412,159,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",0.000453238531231979,0.017047654018642,0.0572960742696748,0.00200105397013264,3.77827295801231,0.98340362818382,0.98245841785158
"4",12.2042326867083,1.87252844071566,905934,"1036_10","PC-3",10,-0.965024206177704,0,1036,"9738",8839,411,159,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",0.000881614063583144,-0.000881614063583144,0.0475565731659875,0.0100052698506632,4.52358994564394,0.968960019945096,0.96737925347126
"5",14.3394437427981,1.87252844071566,905934,"1060_0.25","PC-3",0.25,-0.965024206177704,0,1060,"9738",8839,389,159,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",0.000282046513024195,-0.000282046513024195,0.0320983836645051,0.00025013174626658,2.31472601495905,0.989501238411527,0.988874510456104
"6",14.3394437427981,1.87252844071566,905934,"1060_0.25","PC-3",0.25,-0.965024206177704,0,1060,"9739",8840,389,217,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",0.000282046513024195,-0.000282046513024195,0.0320983836645051,0.00025013174626658,2.31472601495905,0.989501238411527,0.988874510456104
"7",13.5803756758898,1.87252844071566,905934,"1268_10","PC-3",10,-0.965024206177704,0.0767609948612482,1268,"9739",8840,421,217,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",0.000422970176364689,0.0763380246848835,0.0442082651683979,0.0100052698506632,5.47745957864239,0.984467443968992,0.983575525208105
"8",12.2521379295313,1.87252844071566,905934,"1510_10","PC-3",10,-0.965024206177704,0,1510,"9739",8840,423,217,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",0.000859364767259373,-0.000859364767259373,0.0294211740464549,0.0100052698506632,4.55679532964074,0.969683487545604,0.968130871149216
"9",12.7211222143437,1.87252844071566,905934,"1510_2.5","PC-3",2.5,-0.965024206177704,0,1510,"9739",8840,397,217,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",0.000669096833983077,-0.000669096833983077,0.087446756879862,0.0025013174626658,3.49557610326548,0.975986793568381,0.974695406256888
"10",7.39039048328514,1.3041846074698,905935,"1003_0.1","DU-145",0.1,-0.965024206177704,0.188804460623037,1003,"10419",9571,388,159,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",0.00164787475218874,0.187156585870848,0.0872432319995405,0.000100052698506632,-3.41828139130741,0.805254733162069,0.802192994378965
"11",7.39039048328514,1.3041846074698,905935,"1003_0.1","DU-145",0.1,-0.965024206177704,0,1003,"10420",9572,388,217,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",0.00164787475218874,-0.00164787475218874,0.0872432319995405,0.000100052698506632,-3.41828139130741,0.805254733162069,0.802192994378965
"12",12.1158292474805,1.3041846074698,905935,"1032_2","DU-145",2,-0.965024206177704,0.0906217305408934,1032,"10419",9571,412,159,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",4.40602095285342e-05,0.0905776703313649,0.0388754143146828,0.00200105397013264,2.85287543855727,0.988521750478623,0.987182055531504
"13",12.682971730046,1.3041846074698,905935,"1036_10","DU-145",10,-0.965024206177704,0.0382597991646449,1036,"10419",9571,411,159,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",2.85229487265122e-05,0.0382312762159184,0.0197809373885997,0.0100052698506632,4.8554265637574,0.992455518401319,0.991537765956618
"14",12.1325292370732,1.3041846074698,905935,"1060_0.25","DU-145",0.25,-0.965024206177704,0.0971628632112471,1060,"10419",9571,389,159,"NC-1+B","COSMIC_ID","DRUG_ID_lib+maxc",2021-02-12 14:25:13,"gdscIC50_0.99.4","GDSC_SA",4.34996429402829e-05,0.0971193635683068,0.0364023595053511,0.00025013174626658,0.785009447579027,0.988661639323905,0.987336319589306
